Id,Name,Category,Created at,Updated at,Parent category,Partner
2538,Renewable Energy Systems,skills,2025-07-25 19:51:19 UTC,2025-07-25 19:51:19 UTC,Energy and Sustainability,
2537,Energy Systems,skills,2025-07-25 19:51:19 UTC,2025-07-25 19:51:19 UTC,Energy and Sustainability,
2536,ASTM Standards,skills,2025-07-25 19:51:19 UTC,2025-07-25 19:51:19 UTC,Engineering Standards and Compliance,
2535,ISO Standards,skills,2025-07-25 19:51:19 UTC,2025-07-25 19:51:19 UTC,Engineering Standards and Compliance,
2534,Engineering Standards (ASME),skills,2025-07-25 19:51:19 UTC,2025-07-25 19:51:19 UTC,Engineering Standards and Compliance,
2533,Environmental Impact Assessment,skills,2025-07-25 19:51:19 UTC,2025-07-25 19:51:19 UTC,Engineering Standards and Compliance,
2532,Life Cycle Assessment (LCA),skills,2025-07-25 19:51:19 UTC,2025-07-25 19:51:19 UTC,Engineering Standards and Compliance,
2531,Sustainability Engineering,skills,2025-07-25 19:51:19 UTC,2025-07-25 19:51:19 UTC,Energy and Sustainability,
2530,User-Centered Design,skills,2025-07-25 19:51:19 UTC,2025-07-25 19:51:19 UTC,Design,
2529,Communication with Non-Engineers,skills,2025-07-25 19:51:19 UTC,2025-07-25 19:51:19 UTC,Soft Skills,
2528,Scrum Framework,skills,2025-07-25 19:51:19 UTC,2025-07-25 19:51:19 UTC,Project Management,
2527,Agile Methodology,skills,2025-07-25 19:51:19 UTC,2025-07-25 19:51:19 UTC,Project Management,
2526,Time Management,skills,2025-07-25 19:51:19 UTC,2025-07-25 19:51:19 UTC,Soft Skills,
2525,Interdisciplinary Collaboration,skills,2025-07-25 19:51:19 UTC,2025-07-25 19:51:19 UTC,Soft Skills,
2524,IP & Patent Research,skills,2025-07-25 19:51:19 UTC,2025-07-25 19:51:19 UTC,Intellectual Property,
2523,Safety Engineering,skills,2025-07-25 19:51:19 UTC,2025-07-25 19:51:19 UTC,Engineering Standards and Compliance,
2522,Engineering Ethics,skills,2025-07-25 19:51:19 UTC,2025-07-25 19:51:19 UTC,Engineering Standards and Compliance,
2521,Technical Presentations,skills,2025-07-25 19:51:19 UTC,2025-07-25 19:51:19 UTC,Business Communication,
2520,Engineering Reports,skills,2025-07-25 19:51:19 UTC,2025-07-25 19:51:19 UTC,Monitoring and Reporting,
2519,Experimental Design,skills,2025-07-25 19:51:19 UTC,2025-07-25 19:51:19 UTC,Signal and Data Processing,
2518,Testing & Validation,skills,2025-07-25 19:51:19 UTC,2025-07-25 19:51:19 UTC,Quality Assurance and Testing,
2517,Signal Processing,skills,2025-07-25 19:51:19 UTC,2025-07-25 19:51:19 UTC,Communications and PR,
2516,NI DAQ Systems,skills,2025-07-25 19:51:18 UTC,2025-07-25 19:51:18 UTC,Data Acquisition Systems,
2515,Hydraulics,skills,2025-07-25 19:51:18 UTC,2025-07-25 19:51:18 UTC,Mechanical Engineering,
2514,Pneumatics,skills,2025-07-25 19:51:18 UTC,2025-07-25 19:51:18 UTC,Mechanical Engineering,
2513,Actuator Design,skills,2025-07-25 19:51:18 UTC,2025-07-25 19:51:18 UTC,Mechanical Design,
2512,Motion Control,skills,2025-07-25 19:51:18 UTC,2025-07-25 19:51:18 UTC,Mechanical Engineering,
2511,Mechatronics,skills,2025-07-25 19:51:18 UTC,2025-07-25 19:51:18 UTC,Mechanical Engineering,
2510,Data Acquisition (DAQ),skills,2025-07-25 19:51:18 UTC,2025-07-25 19:51:18 UTC,UI/UX Design,
2509,Sensors & Instrumentation,skills,2025-07-25 19:51:18 UTC,2025-07-25 19:51:18 UTC,Electrical Engineering,
2508,Electrical Wiring & Circuit Design,skills,2025-07-25 19:51:18 UTC,2025-07-25 19:51:18 UTC,Electrical Engineering,
2507,Python for Engineering,skills,2025-07-25 19:51:18 UTC,2025-07-25 19:51:18 UTC,Programming Languages,
2506,HVAC Load Calculations,skills,2025-07-25 19:51:18 UTC,2025-07-25 19:51:18 UTC,Mechanical Engineering,
2505,Pumps & Piping Systems,skills,2025-07-25 19:51:18 UTC,2025-07-25 19:51:18 UTC,Mechanical Engineering,
2504,HVAC Systems,skills,2025-07-25 19:51:18 UTC,2025-07-25 19:51:18 UTC,Mechanical Engineering,
2503,Fluid Dynamics Simulation,skills,2025-07-25 19:51:18 UTC,2025-07-25 19:51:18 UTC,Mechanical Engineering,
2502,Fluid Mechanics,skills,2025-07-25 19:51:18 UTC,2025-07-25 19:51:18 UTC,UI/UX Design,
2501,Heat Transfer,skills,2025-07-25 19:51:18 UTC,2025-07-25 19:51:18 UTC,Mechanical Engineering,
2500,Thermal Systems Design,skills,2025-07-25 19:51:18 UTC,2025-07-25 19:51:18 UTC,Systems Engineering,
2499,Quality Engineering,skills,2025-07-25 19:51:18 UTC,2025-07-25 19:51:18 UTC,Quality Assurance and Testing,
2498,Failure Mode & Effects Analysis (FMEA),skills,2025-07-25 19:51:18 UTC,2025-07-25 19:51:18 UTC,Quality and Reliability Engineering,
2497,Cost Estimation,skills,2025-07-25 19:51:18 UTC,2025-07-25 19:51:18 UTC,Financial Analysis,
2496,Engineering Economics,skills,2025-07-25 19:51:18 UTC,2025-07-25 19:51:18 UTC,Financial Analysis,
2495,DFA (Design for Assembly),skills,2025-07-25 19:51:18 UTC,2025-07-25 19:51:18 UTC,Sales and Marketing,
2494,DFM (Design for Manufacturing),skills,2025-07-25 19:51:18 UTC,2025-07-25 19:51:18 UTC,Manufacturing Engineering,
2493,Injection Molding,skills,2025-07-25 19:51:18 UTC,2025-07-25 19:51:18 UTC,Mechanical Engineering,
2492,CNC Machining,skills,2025-07-25 19:51:18 UTC,2025-07-25 19:51:18 UTC,Mechanical Engineering,
2491,Manufacturing Processes,skills,2025-07-25 19:51:18 UTC,2025-07-25 19:51:18 UTC,Communications and PR,
2490,Material Selection,skills,2025-07-25 19:51:18 UTC,2025-07-25 19:51:18 UTC,Mechanical Engineering,
2489,Mechanism Design,skills,2025-07-25 19:51:18 UTC,2025-07-25 19:51:18 UTC,Mechanical Design,
2488,Kinematics & Dynamics,skills,2025-07-25 19:51:18 UTC,2025-07-25 19:51:18 UTC,Mechanical Engineering,
2487,Machine Design,skills,2025-07-25 19:51:18 UTC,2025-07-25 19:51:18 UTC,Mechanical Design,
2486,Geometric Dimensioning and Tolerancing (GD&T),skills,2025-07-25 19:51:18 UTC,2025-07-25 19:51:18 UTC,CAD and Engineering Design,
2485,Tolerance Stack-up Analysis,skills,2025-07-25 19:51:18 UTC,2025-07-25 19:51:18 UTC,Quality and Reliability Engineering,
2484,Engineering Drawing & Documentation,skills,2025-07-25 19:51:18 UTC,2025-07-25 19:51:18 UTC,Admin Support,
2483,COMSOL Multiphysics,skills,2025-07-25 19:51:18 UTC,2025-07-25 19:51:18 UTC,CAD and Engineering Design,
2482,ANSYS,skills,2025-07-25 19:51:18 UTC,2025-07-25 19:51:18 UTC,CAD and Engineering Design,
2481,3D Printing,skills,2025-07-25 19:51:18 UTC,2025-07-25 19:51:18 UTC,Communications and PR,
2480,AutoCAD,skills,2025-07-25 19:51:18 UTC,2025-07-25 19:51:18 UTC,CAD and Engineering Design,
2479,Fusion 360,skills,2025-07-25 19:51:18 UTC,2025-07-25 19:51:18 UTC,CAD and Engineering Design,
2478,SolidWorks,skills,2025-07-25 19:51:18 UTC,2025-07-25 19:51:18 UTC,CAD and Engineering Design,
2477,3D CAD Modeling,skills,2025-07-25 19:51:18 UTC,2025-07-25 19:51:18 UTC,CAD and Engineering Design,
2476,Mechanical Design,skills,2025-07-25 19:51:18 UTC,2025-07-25 19:51:18 UTC,Mechanical Design,
2475,Software Testing,skills,2025-07-21 21:58:42 UTC,2025-07-21 21:58:42 UTC,Quality Assurance and Testing,
2474,Data Wrangling,skills,2025-07-21 21:58:42 UTC,2025-07-21 21:58:42 UTC,Data Engineering,
2473,Neural Networks,skills,2025-07-21 21:58:42 UTC,2025-07-21 21:58:42 UTC,Machine Learning,
2472,Clustering Techniques,skills,2025-07-21 21:58:42 UTC,2025-07-21 21:58:42 UTC,Machine Learning,
2471,Regression Analysis,skills,2025-07-21 21:58:42 UTC,2025-07-21 21:58:42 UTC,Research and Statistics,
2470,Classification Algorithms,skills,2025-07-21 21:58:42 UTC,2025-07-21 21:58:42 UTC,Machine Learning,
2469,Machine Learning Pipelines,skills,2025-07-21 21:58:42 UTC,2025-07-21 21:58:42 UTC,Machine Learning,
2468,Feature Engineering,skills,2025-07-21 21:58:42 UTC,2025-07-21 21:58:42 UTC,Engineering Simulation,
2467,Model Evaluation,skills,2025-07-21 21:58:42 UTC,2025-07-21 21:58:42 UTC,Financial Analysis,
